id(時間割コード),classId(何かに使うかもしれない通し番号),name,teacher,credit,style,url,termperiod
11A01,20210001,社会心理学(1),南谷　則子,1,オンライン,Coming Soon…,T1Mon1
11A02,20210002,Extensive Reading I (英),楠　香織,1,オンライン,Coming Soon…,T1Mon1
11A03,20210003,Intensive Reading I a (英),中尾　真子,1,オンライン,Coming Soon…,T1Mon1
11A04,20210004,Intensive Reading I a (英),藤坂　恭子,1,オンライン,Coming Soon…,T1Mon1
11A05,20210005,比較政治論(1),網谷　龍介,1,オンライン,Coming Soon…,T1Mon1
11A06,20210006,数学特別講義 B (1),原　隆,1,ハイブリッド,Coming Soon…,T1Mon1
11A07,20210007,ネットワークシステム(演習付),新田　善久,2,オンライン,Coming Soon…,T1Mon1/T1Mon2
11A08,20210008,教育方法論,高垣　マユミ,2,オンライン,Coming Soon…,T1Mon1/T1Mon2
11A09,20210009,生徒指導の理論と方法,前田　基成,1,オンライン,Coming Soon…,T1Mon1
11A10,20210010,教育課程論,渡邊　あや,2,オンライン,Coming Soon…,T1Mon1/T1Mon2
11G01,20210011,Oral English I (英),Betsy Longacre Terada,3,オンライン,Coming Soon…,T1Mon1/T3Mon1/T4Mon1
11G02,20210012,Oral English I (英),Kristofer Raymond Bayne,3,オンライン,Coming Soon…,T1Mon1/T3Mon1/T4Mon1
11G03,20210013,Oral English I (英),Carolyn Morikawa,3,オンライン,Coming Soon…,T1Mon1/T3Mon1/T4Mon1
11G04,20210014,Oral English I (数),Brian Heagney,3,オンライン,Coming Soon…,T1Mon1/T3Mon1/T4Mon1
11G05,20210015,Oral English I (数),Clara Kumagai,3,オンライン,Coming Soon…,T1Mon1/T3Mon1/T4Mon1
11G06,20210016,Oral English I (数),Kim Marie Turnberg Sano,3,オンライン,Coming Soon…,T1Mon1/T3Mon1/T4Mon1
11G07,20210017,Composition I (国・多),長谷川　志保,3,オンライン,Coming Soon…,T1Mon1/T3Mon1/T4Mon1
11G08,20210018,Composition I (国・多),清水　由布紀,3,オンライン,Coming Soon…,T1Mon1/T3Mon1/T4Mon1
