id(時間割コード),classId(何かに使うかもしれない通し番号),name,teacher,credit,style,url,termperiod
11A01,20210001,社会心理学(1),南谷　則子,1,オンライン,https://zoom.us/j/94078958112?pwd=bTgxUzR6aDFqTDllc3UxdG1DYXI3Zz09,T1Mon1
11A02,20210002,Extensive Reading I (英),楠　香織,1,オンライン,https://zoom.us/j/91638929234?pwd=RWFYNWRZdnUzYWpJYWFCR2REdnRndz09,T1Mon1
11A03,20210003,Intensive Reading I a (英),中尾　真子,1,オンライン,https://zoom.us/j/94951943805?pwd=WkQ0cVRLSWxUNmxZM1pkUUN1d3VIUT09,T1Mon1
11A04,20210004,Intensive Reading I a (英),藤坂　恭子,1,オンライン,https://zoom.us/j/99400273057?pwd=Tkg5d21FaUpzWWk3cUpLWUd2bk5FQT09,T1Mon1
11A05,20210005,比較政治論(1),網谷　龍介,1,オンライン,https://zoom.us/j/98665191190?pwd=YUdVdE4xTFR5NGdzSkpXRys2Uk5CQT09,T1Mon1
11A06,20210006,数学特別講義 B (1),原　隆,1,ハイブリッド,https://zoom.us/j/97839131819?pwd=MkppbGM1SFRZQ1ZQOEEvK1I3QWFQQT09,T1Mon1
11A07,20210007,ネットワークシステム(演習付),新田　善久,2,オンライン,https://zoom.us/j/93736747914?pwd=ZG1Ea3J0ZVI2UzJTYStOcE91ZmswQT09,T1Mon1/T1Mon2
11A08,20210008,教育方法論,高垣　マユミ,2,オンライン,https://zoom.us/j/97529789447?pwd=dUNMS2c3amN2Wnp0MDVpQUFkOEI4UT09,T1Mon1/T1Mon2
11A09,20210009,生徒指導の理論と方法,前田　基成,1,オンライン,https://zoom.us/j/98497659965?pwd=c3lrVzg3cE1vaVBWdkRpT1BSTkVVZz09,T1Mon1
11A10,20210010,教育課程論,渡邊　あや,2,オンライン,https://zoom.us/j/99298785433?pwd=elpaV2ZjK1docCs5RU10SExtdEZoUT09,T1Mon1/T1Mon2
11G01,20210011,Oral English I (英),Betsy Longacre Terada,3,オンライン,https://zoom.us/j/99166013252?pwd=TnE2a1JNVEQwL096eFJXRVVqVnhhUT09,T1Mon1/T3Mon1/T4Mon1
11G02,20210012,Oral English I (英),Kristofer Raymond Bayne,3,オンライン,https://zoom.us/j/95287867359?pwd=ejBTTjduWHNTY29hQWNobzB5ZXdIdz09,T1Mon1/T3Mon1/T4Mon1
11G03,20210013,Oral English I (英),Carolyn Morikawa,3,オンライン,https://zoom.us/j/99574917892?pwd=T3UxbDkxVFd1VUYzSUc4ZVhGanNZdz09,T1Mon1/T3Mon1/T4Mon1
11G04,20210014,Oral English I (数),Brian Heagney,3,オンライン,https://zoom.us/j/91377961677?pwd=bm1KWHlJSTMwU1BrLzZybmtnK2N6Zz09,T1Mon1/T3Mon1/T4Mon1
11G05,20210015,Oral English I (数),Clara Kumagai,3,オンライン,https://zoom.us/j/96000428900?pwd=czNMWms2RGZrb1ZoRlhaaUkxOGhkQT09,T1Mon1/T3Mon1/T4Mon1
11G06,20210016,Oral English I (数),Kim Marie Turnberg Sano,3,オンライン,https://zoom.us/j/94796400621?pwd=bURGeDlrLzdrQ2M3dzhjdVl3ek1nZz09,T1Mon1/T3Mon1/T4Mon1
11G07,20210017,Composition I (国・多),長谷川　志保,3,オンライン,https://zoom.us/j/96151450285?pwd=VVFDK2J6OCtQY0NpczFiamYwV0Nkdz09,T1Mon1/T3Mon1/T4Mon1
11G08,20210018,Composition I (国・多),清水　由布紀,3,オンライン,https://zoom.us/j/92772694353?pwd=LzdPc0xtSzdLdWlXQmNUTUFUYzFDQT09,T1Mon1/T3Mon1/T4Mon1
11G09,20210019,Composition I (国・多),川島　るり子,3,オンライン,https://zoom.us/j/97786984816?pwd=ZXJVdDJRNmFDeGhjN0ozTjVXYUo2dz09,T1Mon1/T3Mon1/T4Mon1
11G10,20210020,Composition I (国・多),久島　智津子,3,オンライン,https://zoom.us/j/97758004287?pwd=MUJaZzBOUjhHN0Iwd0lNdURkS2tuZz09,T1Mon1/T3Mon1/T4Mon1
11G11,20210021,Pronunciation I (英),奥坊　光子,3,オンライン,https://zoom.us/j/98397447857?pwd=cTJsZzBoc2xEODRXNktaM0p5d2ZtUT09,T1Mon1/T3Mon1/T4Mon1
11G12,20210022,Pronunciation I (英),奥野　晶子,3,オンライン,https://zoom.us/j/97103117317?pwd=V3FCNnZaOHBVMWszb3ZyNTJQT2I5QT09,T1Mon1/T3Mon1/T4Mon1
11G13,20210023,スペイン語 I (演習) e (国・多),青島　郁代,3,オンライン,https://zoom.us/j/95963080258?pwd=SVA3b3MramJWNFV1OXpqMnVhYkVQdz09,T1Mon1/T3Mon1/T4Mon1
11G14,20210024,韓国・朝鮮語 I (演習) d (国・多),張　銀英,3,オンライン,https://zoom.us/j/91538585606?pwd=N2QzY0Y4QndORjJvSW1PKy9ZVDJZQT09,T1Mon1/T3Mon1/T4Mon1
11G15,20210025,Academic Writing & Presentation III,Paul Michael Garside,3,オンライン,https://zoom.us/j/94859482965?pwd=V2RZRWNCK1RZRTMwcTB0V3g4M3AzUT09,T1Mon1/T3Mon1/T4Mon1
11N01,20210026,社会心理学(3),南谷　則子,1,オンライン(未確定),Coming Soon…,T3Mon1
11N02,20210027,Extensive Reading I (英),楠　香織,1,オンライン(未確定),Coming Soon…,T3Mon1
11N03,20210028,Extensive Reading I (英),中尾　真子,1,オンライン(未確定),Coming Soon…,T3Mon1
11N04,20210029,Intensive Reading I a (英),藤坂　恭子,1,オンライン(未確定),Coming Soon…,T3Mon1
11N05,20210030,余暇教育(スポーツと身体スキル),薄井　澄誉子,0.5,オンライン(未確定),Coming Soon…,T3Mon1
11N06,20210031,比較政治論(3),網谷　龍介,1,オンライン(未確定),Coming Soon…,T3Mon1
11N07,20210032,数学特別講義 B (3),原　隆,1,オンライン(未確定),Coming Soon…,T3Mon1
11N08,20210033,情報表現(3),稲葉　利江子,1,オンライン(未確定),Coming Soon…,T3Mon1
11N09,20210034,国際ボランティア論,木山　啓子,1,オンライン(未確定),Coming Soon…,T3Mon1
11N10,20210035,生徒指導の理論と方法,前田　基成,1,オンライン(未確定),Coming Soon…,T3Mon1
11N11,20210036,イギリス文学特殊講義(小説),溝口　昭子,1,オンライン(未確定),Coming Soon…,T3Mon1
11P01,20210037,教育方法論,高垣　マユミ,2,オンライン(未確定),Coming Soon…,T3Mon1/T4Mon1
11P02,20210038,教育課程論,渡邊　あや,2,オンライン(未確定),Coming Soon…,T3Mon1/T4Mon1
11R01,20210039,社会心理学(4),南谷　則子,1,オンライン(未確定),Coming Soon…,T4Mon1
11R02,20210040,Intensive Reading I b (英),楠　香織,1,オンライン(未確定),Coming Soon…,T4Mon1
11R03,20210041,Intensive Reading I b (英),藤坂　恭子,1,オンライン(未確定),Coming Soon…,T4Mon1
11R04,20210042,Intensive Reading I b (英),中尾　真子,1,オンライン(未確定),Coming Soon…,T4Mon1
11R05,20210043,グローバル文学(英語)特殊講義,溝口　昭子,1,オンライン(未確定),Coming Soon…,T4Mon1
11R06,20210044,比較政治論(4),網谷　龍介,1,オンライン(未確定),Coming Soon…,T4Mon1
11R07,20210045,数学特別講義 B (4),原　隆,1,オンライン(未確定),Coming Soon…,T4Mon1
11R08,20210046,情報表現(4),稲葉　利江子,1,オンライン(未確定),Coming Soon…,T4Mon1
11R09,20210047,進路指導の理論と方法,前田　基成,1,オンライン(未確定),Coming Soon…,T4Mon1
11R10,20210048,デベロプメント・スタディーズ,山下　靖子,1,オンライン(未確定),Coming Soon…,T4Mon1
12A01,20210049,国語学(1),高橋　雄太,1,オンライン,https://zoom.us/j/92937091663?pwd=NERqSnRTWHl5VWpUU3lwN0QyUGVydz09,T1Mon2
12A02,20210050,経済学(1),森　悠子,1,オンライン,https://zoom.us/j/99977987635?pwd=ZHhZMHdtOSthdXZOSEZkckxWOG1Qdz09,T1Mon2
12A03,20210051,経済学研究(1),森　悠子,1,オンライン,https://zoom.us/j/99977987635?pwd=ZHhZMHdtOSthdXZOSEZkckxWOG1Qdz09,T1Mon2
12A04,20210052,Extensive Reading I (国・多),長谷川　志保,1,オンライン,https://zoom.us/j/99569230203?pwd=ci9SZnI3ZHowcTF2cjdQS3p3UU1Sdz09,T1Mon2
12A05,20210053,Extensive Reading I (国・多),川島　るり子,1,オンライン,https://zoom.us/j/99155001805?pwd=SEYzWlNqYk11emQ0R1FPNHRJd2RKUT09,T1Mon2
12A06,20210054,Intensive Reading I a (国・多),奥坊　光子,1,オンライン,https://zoom.us/j/95282254536?pwd=TXdiNlphUHpsK056N044cE9OSnBoUT09,T1Mon2
12A07,20210055,中国語 III (講読) (1),布川　雅英,1,オンライン,https://zoom.us/j/99743008658?pwd=RHhjWHdHT0ovcUpYdFBCbGVoUnA2QT09,T1Mon2
12A08,20210056,スペイン語 III (講読) (1),青砥　清一,1,オンライン,https://zoom.us/j/95848575437?pwd=aHJXOHM1TXhRUHptOFlIamRucUVXUT09,T1Mon2
12A09,20210057,韓国・朝鮮語 III (演習) (1),張　銀英,1,オンライン,https://zoom.us/j/95271222986?pwd=OEQwMENpT0M2dE1FOEd3NFhDaVhrUT09,T1Mon2
12A10,20210058,日本語指導 Ba (1),作田　奈苗,1,オンライン,https://zoom.us/j/93775278570?pwd=bUpBaHVnV0krSENHUlN4K3FOVjB3Zz09,T1Mon2
12A11,20210059,健康教育,井上　則子,1,オンライン,https://zoom.us/j/97347939046?pwd=cnBvejJudUFqTGJDY3JUS1NHUTY1Zz09,T1Mon2
12A12,20210060,現代文化論(1),Sookyeong Hong,1,オンライン,https://zoom.us/j/92121100748?pwd=S2Roa0RWbFpPM3puVXpiRGxWYkhWQT09,T1Mon2
12A13,20210061,世界の健康科学,松山　章子,1,オンライン,https://zoom.us/j/99517789820?pwd=Z2wwWGQza2JXa2ZzbHQ0aFNXMXFFUT09,T1Mon2
12A14,20210062,メディア概論 a,稲葉　利江子,1,オンライン,https://zoom.us/j/94336337859?pwd=bjBSRGJtb2FvMUpmWDNCaVlkUFlRQT09,T1Mon2
12A15,20210063,進路指導の理論と方法,前田　基成,1,オンライン,https://zoom.us/j/98105138266?pwd=YXVlaXcrUDZPSm5oMkx3SFRoNXdFQT09,T1Mon2
12B01,20210064,情報数学特論 a,永井　敦,2,ハイブリッド,https://zoom.us/j/92180357495?pwd=SVJLbmF1NGNWYWlzcGFqRVdrNHNEQT09,T1Mon2/T2Mon2
12B02,20210065,数学特論 XE,吉川　祥,2,オンライン,https://zoom.us/j/96345551105?pwd=alg3TlpwR1IwUldZNkFBem9ZNnN2UT09,T1Mon2/T2Mon2
12G01,20210066,Oral English I (国・多),Kim Marie Turnberg Sano,3,オンライン,https://zoom.us/j/95760234866?pwd=WVZEekdPSTYwYi9mc1RRNlYzbG15UT09,T1Mon2/T3Mon2/T4Mon2
12G02,20210067,Oral English I (国・多),Brian Heagney,3,オンライン,https://zoom.us/j/98411576229?pwd=NENoS1JiOElEZTlKdTdLN0VZM1Badz09,T1Mon2/T3Mon2/T4Mon2
12G03,20210068,Oral English I (国・多),Paul Michael Garside,3,オンライン,https://zoom.us/j/94360211935?pwd=SEVITHhLSlpGSmg4VFRDVE04Rmo3Zz09,T1Mon2/T3Mon2/T4Mon2
12G04,20210069,Oral English I (国・多),Clara Kumagai,3,オンライン,https://zoom.us/j/98203860759?pwd=T0pCOE5JQ2dlUThsUkk4WGp0VUVZQT09,T1Mon2/T3Mon2/T4Mon2
12G05,20210070,Oral English I (情),Kristofer Raymond Bayne,3,オンライン,https://zoom.us/j/96576549240?pwd=bkhMbDhZZm5SUlQ4RlpaMEtKTkFQUT09,T1Mon2/T3Mon2/T4Mon2
12G06,20210071,Oral English I (情),Betsy Longacre Terada,3,オンライン,https://zoom.us/j/98392604147?pwd=MXZkTWx5enI5OGJUSGg3bHBBQXRhZz09,T1Mon2/T3Mon2/T4Mon2
12G07,20210072,Oral English I (情),Carolyn Morikawa,3,オンライン,https://zoom.us/j/94947288339?pwd=LzRFUEx6SXhLQXlVMzQ3bk5ZUGNkZz09,T1Mon2/T3Mon2/T4Mon2
12G08,20210073,Composition I (英),梅垣　代枝野,3,オンライン,https://zoom.us/j/95219631238?pwd=N0Q4OUFtbHpZUytOSmd0dzJQYjlqdz09,T1Mon2/T3Mon2/T4Mon2
12G09,20210074,Composition I (英),楠　香織,3,オンライン,https://zoom.us/j/92610044057?pwd=OU4yNGJKdVJEbXpEN1ZmeVRJZ0lGZz09,T1Mon2/T3Mon2/T4Mon2
